"","id","sample","tr","selftimesused","friendtimesused","friendused","yard.sign.requests","SE_plant","RE_env_plant","RE_social_plant","IN_sanctioning_plant","dyn_plant","SE_encourage","IN_praise_plant","RE_social_encourage","RE_env_encourage","IN_encourage","competent_encourage","rent_own","Gender","Race","Ethnicity","Age","Education","native_plant","convinceOther"
"808",1807,2,"control",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809",1808,2,"efficacy",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",1809,2,"efficacy",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",1810,2,"control",0,"0",0,0,5,7,1,2,6,2,6,6,6,2,3,2,2,5,2,68,4,2,2
"812",1811,2,"control",0,"1",1,0,6,6,6,2,6,2,6,6,6,2,5,2,1,5,2,69,4,1,1
"813",1812,2,"control",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814",1813,2,"control",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",1814,2,"combined",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",1815,2,"norms",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",1816,2,"combined",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",1817,2,"norms",0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
